Model,Status,Return code,Elapsed minutes,Average BLiMP accuracy,Model path,Report path,Log file
Baby_EN,SUCCESS,0,12.614,51.48,/content/drive/MyDrive/BabyLM_Chinese_English_Translation/babyroberta_english_same_arch_95_5_final,/content/drive/MyDrive/BabyLM_Chinese_English_Translation/blimp_evaluation_results/Baby_EN/babyroberta_english_same_arch_95_5_final/main/zero_shot/mlm/blimp/blimp_filtered/best_temperature_report.txt,/content/drive/MyDrive/BabyLM_Chinese_English_Translation/blimp_evaluation_logs/Baby_EN_blimp.log
Baby_L2E,SUCCESS,0,12.591,51.57,/content/drive/MyDrive/BabyLM_Chinese_English_Translation/babyroberta_english_essays_finetuned/final_model,/content/drive/MyDrive/BabyLM_Chinese_English_Translation/blimp_evaluation_results/Baby_L2E/final_model/main/zero_shot/mlm/blimp/blimp_filtered/best_temperature_report.txt,/content/drive/MyDrive/BabyLM_Chinese_English_Translation/blimp_evaluation_logs/Baby_L2E_blimp.log
Baby_MUSE,SUCCESS,0,12.511,51.15,/content/drive/MyDrive/BabyLM_Chinese_English_Translation/babyroberta_english_continued_word_muse/final_model,/content/drive/MyDrive/BabyLM_Chinese_English_Translation/blimp_evaluation_results/Baby_MUSE/final_model/main/zero_shot/mlm/blimp/blimp_filtered/best_temperature_report.txt,/content/drive/MyDrive/BabyLM_Chinese_English_Translation/blimp_evaluation_logs/Baby_MUSE_blimp.log
Baby_W2W_ZH,SUCCESS,0,2.719,62.92,/content/drive/MyDrive/BabyLM_Chinese_English_Translation/babyroberta_108M_same_arch_95_5_final,/content/drive/MyDrive/BabyLM_Chinese_English_Translation/blimp_evaluation_results/Baby_W2W_ZH/babyroberta_108M_same_arch_95_5_final/main/zero_shot/mlm/blimp/blimp_filtered/best_temperature_report.txt,/content/drive/MyDrive/BabyLM_Chinese_English_Translation/blimp_evaluation_logs/Baby_W2W_ZH_blimp.log
Baby_W2W_Mix,SUCCESS,0,12.572,53.09,/content/drive/MyDrive/BabyLM_Chinese_English_Translation/babyroberta_mix_70_30_same_arch_95_5/final_model,/content/drive/MyDrive/BabyLM_Chinese_English_Translation/blimp_evaluation_results/Baby_W2W_Mix/final_model/main/zero_shot/mlm/blimp/blimp_filtered/best_temperature_report.txt,/content/drive/MyDrive/BabyLM_Chinese_English_Translation/blimp_evaluation_logs/Baby_W2W_Mix_blimp.log
Baby_EN_ZH,SUCCESS,0,3.397,55.78,/content/drive/MyDrive/BabyLM_Chinese_English_Translation/babyroberta_en_zh_original_70_30_same_arch_95_5/final_model,/content/drive/MyDrive/BabyLM_Chinese_English_Translation/blimp_evaluation_results/Baby_EN_ZH/final_model/main/zero_shot/mlm/blimp/blimp_filtered/best_temperature_report.txt,/content/drive/MyDrive/BabyLM_Chinese_English_Translation/blimp_evaluation_logs/Baby_EN_ZH_blimp.log
