Model,Matched questions,Table 4 correct,Table 4 accuracy,Wrong-dominant questions,Table 5 correct,Table 5 accuracy
English BERT Base,100,25,0.25,98,23,0.23469387755102042
English BabyRoBERTa,100,30,0.3,98,30,0.30612244897959184
English BabyRoBERTa + MUSE,100,30,0.3,98,30,0.30612244897959184
Baby_W2W-ZH,100,20,0.2,98,19,0.19387755102040816
English BabyRoBERTa + Essays,100,31,0.31,98,31,0.3163265306122449
Baby_W2W-Mix,100,26,0.26,98,26,0.2653061224489796
Baby_EN-ZH,100,24,0.24,98,24,0.24489795918367346
